cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All Causes,1984,Pueblo,1118,122405.65,913.3565322,964.1045183,800.7413713
All Causes,1984,Rio Blanco,33,6986.51,472.3388358,892.9648363,24273.1133
All Causes,1984,Rio Grande,109,11420.5,954.424062,981.8581457,8381.745306
All Causes,1984,Routt,62,14293.54,433.762385,986.7020737,16442.09459
All Causes,1984,Saguache,28,4432.5,631.6976875,684.4880898,16895.40203
All Causes,1984,San Juan,5,961.71,519.9072486,904.7943628,191519.6032
All Causes,1984,San Miguel,17,3014.48,563.9446936,915.2607825,58074.41014
All Causes,1984,Sedgwick,41,3240.51,1265.232942,958.8661969,21370.939
All Causes,1984,Summit,19,12071.4,157.3968222,573.4757618,78351.88275
All Causes,1984,Teller,61,10909.51,559.1451862,1071.687803,20807.88732
All Causes,1984,Washington,59,5576.49,1058.013195,996.1456054,16081.71846
All Causes,1984,Weld,848,129014.7,657.2894407,890.4049923,902.1113031
All Causes,1984,Yuma,112,9980.52,1122.186018,959.7564021,7820.304413
All Causes,1984,Unknown,,,,,
All Causes,1985,Colorado,20233,3214490.18,629.431072,889.152795,38.03884921
All Causes,1985,Adams,1304,268810.24,485.1005676,840.0289295,583.9019497
All Causes,1985,Alamosa,79,13056.49,605.0630759,833.9678572,8464.627692
All Causes,1985,Arapahoe,1602,381290.31,420.1522981,903.855839,563.1721715
All Causes,1985,Archuleta,22,5258.5,418.3702577,593.1134483,18038.31029
All Causes,1985,Baca,62,4918.54,1260.536663,1094.148771,18273.89057
All Causes,1985,Bent,64,5744.47,1114.114966,992.3220578,14706.65955
All Causes,1985,Boulder,1064,209489.88,507.9004294,823.2010184,631.8957219
All Causes,1985,Broomfield,,,,,
All Causes,1985,Chaffee,107,12394.58,863.280563,859.0767808,6712.408478
All Causes,1985,Cheyenne,21,2340.86,897.1061917,1017.555625,46789.30568
All Causes,1985,Clear Creek,40,7981.45,501.1620696,975.1594519,25145.51795
All Causes,1985,Conejos,60,7821.51,767.1153013,876.0108043,12381.65318
All Causes,1985,Costilla,20,3408.55,586.7597659,574.7932448,16464.2014
All Causes,1985,Crowley,36,3042.48,1183.245247,821.7555644,19737.83343
All Causes,1985,Custer,22,2111.5,1041.913332,1261.31576,69441.21837
All Causes,1985,Delta,245,23511.52,1042.042369,858.7704805,3017.46291
All Causes,1985,Denver,4541,496477.31,914.6440147,944.9272075,191.3930973
All Causes,1985,Dolores,9,1594.06,564.5960629,617.3005695,40866.64671
